WORKSHEET,CATEGORY,SUBCATEGORY,DATA_TYPE,96_FIELD_NAME,10_FIELD_NAME,FIELD DESCRIPTION ,WKSHT CD,LINE,COLUMN
"2552-10 WORKSHEET D, PART IV FOR THE HOSPITAL",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,NOT ON OLD FORM,D_4_HOS_C3_200,Total Allied Health,D00A184,20000,00300
"2552-10 WORKSHEET D, PART IV FOR THE HOSPITAL",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,NOT ON OLD FORM,D_4_HOS_C4_200,Total Other Medical Education,D00A184,20000,00400
"2552-10 WORKSHEET D, PART IV FOR THE HOSPITAL",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,D_4_HOS_C9_101,D_4_HOS_C6_200,Total Outpatient Program Pass Thru Cost,D00A184,20000,00600
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_IPF_C1_200,Total Nonphysician Anesthetist Cost,D00B184,20000,00100
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_IPF_C2_200,Total Nursing School,D00B184,20000,00200
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_IPF_C3_200,Total Allied Health,D00B184,20000,00300
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_IPF_C4_200,Total Other Medical Education,D00B184,20000,00400
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_IPF_C6_200,Total Outpatient Program Pass Thru Cost,D00B184,20000,00600
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_IRF_C1_102,Total Nonphysician Anesthetist Cost,D00C184,20000,00100
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_IRF_C2_200,Total Nursing School,D00C184,20000,00200
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_IRF_C3_200,Total Allied Health,D00C184,20000,00300
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_IRF_C4_200,Total Other Medical Education,D00C184,20000,00400
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_IRF_C6_200,Total Outpatient Program Pass Thru Cost,D00C184,20000,00600
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_SUB1_C1_200,Total Nonphysician Anesthetist Cost,D01D184,20000,00100
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_SUB1_C2_200,Total Nursing School,D01D184,20000,00200
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_SUB1_C3_200,Total Allied Health,D01D184,20000,00300
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_SUB1_C4_200,Total Other Medical Education,D01D184,20000,00400
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_SUB1_C6_200,Total Outpatient Program Pass Thru Cost,D01D184,20000,00600
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_SUB2_C1_102,Total Nonphysician Anesthetist Cost,D02D184,20000,00100
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_SUB2_C2_200,Total Nursing School,D02D184,20000,00200
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_SUB2_C3_200,Total Allied Health,D02D184,20000,00300
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_SUB2_C4_200,Total Other Medical Education,D02D184,20000,00400
"2552-10 WORKSHEET D, PART IV FOR IPF, IRF, AND SUBPROVIDER I and II",APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS,,NUMERIC,,D_4_SUB2_C6_200,Total Outpatient Program Pass Thru Cost,D02D184,20000,00600
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_50,Operating Room,D00A185,05000,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_51,Recovery Room,D00A185,05100,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_52,Delivery Room and Labor Room,D00A185,05200,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_53,Anesthesiology,D00A185,05300,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_54,Radiology-Diagnostic,D00A185,05400,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_55,Radiology-Therapeutic,D00A185,05500,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_56,Radioisotope,D00A185,05600,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_57,CT Scan,D00A185,05700,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_58,MRI,D00A185,05800,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_59,Cardiac Catheterization,D00A185,05900,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_60,Laboratory,D00A185,06000,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,NUMERIC,,D_5_HOS_C2_61,PBP Clinical Lab Services Program Only,D00A185,06100,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_62,Whole Blood & Packed Red Blood Cells,D00A185,06200,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_6250,Blood Clotting Factors for Hemoph.,D00A185,06250,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_63,"Blood Storing, Processing, Trans",D00A185,06300,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_64,Intravenous Therapy,D00A185,06400,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_65,Respiratory Therapy,D00A185,06500,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_66,Physical Therapy,D00A185,06600,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_67,Occupational Therapy,D00A185,06700,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_68,Speech Pathology,D00A185,06800,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_69,Electrocardiology,D00A185,06900,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_70,Electroencephalography,D00A185,07000,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_71,Medical Supplies Charged to Patients,D00A185,07100,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_72,Impl. Dev. Charged to Patients ,D00A185,07200,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_73,Drugs Charged to Patients,D00A185,07300,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,NUMERIC,,D_5_HOS_C2_74,Renal Dialysis,D00A185,07400,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_75,ASC (Non Distinct Part),D00A185,07500,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_76,Other Ancillary,D00A185,07600,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_88,RHC,D00A185,08800,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_89,FQHC,D00A185,08900,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_90,Clinic,D00A185,09000,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_91,Emergency,D00A185,09100,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_9201,Observation Beds (Distinct Unit),D00A185,09201,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_93,Other Outpatient Services,D00A185,09300,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,NUMERIC,,D_5_HOS_C2_94,Home Program Dialysis,D00A185,09400,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,NUMERIC,,D_5_HOS_C2_95,Ambulance Services,D00A185,09500,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_96,Durable Medical Equipment Rented,D00A185,09600,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_97,Durable Medical Equipment Sold,D00A185,09700,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,ROLLUP,,D_5_HOS_C2_98,Other Reimbursable,D00A185,09800,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,PPS REIMBURSED SERVICES -  CHARGES,NUMERIC,,D_5_HOS_C2_200,Total ,D00A185,20000,00200
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_50,Operating Room,D00A185,05000,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_51,Recovery Room,D00A185,05100,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_52,Delivery Room and Labor Room,D00A185,05200,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_53,Anesthesiology,D00A185,05300,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_54,Radiology-Diagnostic,D00A185,05400,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_55,Radiology-Therapeutic,D00A185,05500,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_56,Radioisotope,D00A185,05600,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_57,CT Scan,D00A185,05700,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_58,MRI,D00A185,05800,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_59,Cardiac Catheterization,D00A185,05900,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_60,Laboratory,D00A185,06000,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,NUMERIC,,D_5_HOS_C3_61,PBP Clinical Lab Services Program Only,D00A185,06100,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_62,Whole Blood & Packed Red Blood Cells,D00A185,06200,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_6250,Blood Clotting Factors for Hemoph.,D00A185,06250,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_63,"Blood Storing, Processing, Trans",D00A185,06300,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_64,Intravenous Therapy,D00A185,06400,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_65,Respiratory Therapy,D00A185,06500,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_66,Physical Therapy,D00A185,06600,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_67,Occupational Therapy,D00A185,06700,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_68,Speech Pathology,D00A185,06800,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_69,Electrocardiology,D00A185,06900,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_70,Electroencephalography,D00A185,07000,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_71,Medical Supplies Charged to Patients,D00A185,07100,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_72,Impl. Dev. Charged to Patients ,D00A185,07200,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_73,Drugs Charged to Patients,D00A185,07300,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,NUMERIC,,D_5_HOS_C3_74,Renal Dialysis,D00A185,07400,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_75,ASC (Non Distinct Part),D00A185,07500,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_76,Other Ancillary,D00A185,07600,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_88,RHC,D00A185,08800,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_89,FQHC,D00A185,08900,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_90,Clinic,D00A185,09000,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_91,Emergency,D00A185,09100,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_9201,Observation Beds (Distinct Unit),D00A185,09201,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_93,Other Outpatient Services,D00A185,09300,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,NUMERIC,,D_5_HOS_C3_94,Home Program Dialysis,D00A185,09400,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,NUMERIC,,D_5_HOS_C3_95,Ambulance Services,D00A185,09500,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_96,Durable Medical Equipment Rented,D00A185,09600,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_97,Durable Medical Equipment Sold,D00A185,09700,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,ROLLUP,,D_5_HOS_C3_98,Other Reimbursable,D00A185,09800,00300
"2552-10 WORKSHEET D, PART V",APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES,COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES,NUMERIC,,D_5_HOS_C3_200,Total ,D00A185,20000,00300
